City,Date_Updated,Country,Latitude,Longitude,Temperature_Max,Humidity,Cloudiness,Wind_Speed
novorudnyy,2020-04-12,RU,51.5,58.19,30.2,80,3,8.95
thunder bay,2020-04-12,CA,48.4,-89.32,37.4,37,90,3.36
sungaipenuh,2020-04-12,ID,-2.08,101.38,67.03,71,100,0.74
tambura,2020-04-12,SS,5.6,27.47,72.18,69,100,3.53
stornoway,2020-04-12,GB,58.21,-6.39,41,60,75,17.22
demidov,2020-04-12,RU,55.27,31.52,41,62,90,12.17
kangaatsiaq,2020-04-12,GL,68.31,-53.46,33.87,92,89,15.88
lumsden,2020-04-12,CA,50.65,-104.87,25,38,75,17.22
benghazi,2020-04-12,LY,32.12,20.07,62.29,54,0,12.66
gunjur,2020-04-12,GM,13.2,-16.73,73.4,88,1,5.82
bitkine,2020-04-12,TD,11.98,18.21,80.53,13,45,8.61
abu samrah,2020-04-12,SY,35.3,37.18,52.12,63,0,5.3
maceio,2020-04-12,BR,-9.67,-35.74,78.8,88,22,5.82
cap-aux-meules,2020-04-12,CA,47.38,-61.86,39.2,60,20,10.29
catuday,2020-04-12,PH,16.29,119.81,78.75,76,51,13.53
kremenchuk,2020-04-12,UA,49.1,33.42,41.56,57,60,7.2
porto empedocle,2020-04-12,IT,37.29,13.53,54,79,57,1.01
qaqortoq,2020-04-12,GL,60.72,-46.03,37.4,94,92,4.7
aracruz,2020-04-12,BR,-19.82,-40.27,75.2,69,90,12.75
mbanza-ngungu,2020-04-12,CD,-5.25,14.87,68.9,84,100,0.51
kulunda,2020-04-12,RU,52.57,78.94,41.11,71,100,5.77
diglur,2020-04-12,IN,18.55,77.6,79.3,28,0,6.31
dunmore town,2020-04-12,BS,25.5,-76.65,76.57,83,21,22.06
ajdabiya,2020-04-12,LY,30.76,20.23,64.4,43,23,8.61
elko,2020-04-12,US,41,-115.5,52,13,1,13.87
conceicao do araguaia,2020-04-12,BR,-8.26,-49.26,75.07,86,83,2.01
storforshei,2020-04-12,NO,66.4,14.52,30.49,92,100,13.65
edson,2020-04-12,CA,53.58,-116.44,30.2,33,90,13.87
san jeronimo,2020-04-12,PE,-11.95,-75.28,52.27,29,75,2.84
florianopolis,2020-04-12,BR,-27.61,-48.5,71.01,64,20,4.7
sao raimundo nonato,2020-04-12,BR,-9.02,-42.7,75.79,73,57,1.16
roswell,2020-04-12,US,34.02,-84.36,69.8,100,90,5.82
diffa,2020-04-12,NE,13.32,12.61,78.76,27,83,10.65
katsuura,2020-04-12,JP,35.13,140.3,51.8,93,75,13.87
pietersburg,2020-04-12,ZA,-23.9,29.47,64.4,55,0,3.36
kot addu,2020-04-12,PK,30.47,70.97,78.8,61,20,7.47
dogondoutchi,2020-04-12,NE,13.64,4.03,87.98,12,0,12.41
fairbanks,2020-04-12,US,64.84,-147.72,46.4,48,75,4.7
lima,2020-04-12,PE,-12.04,-77.03,73.4,78,26,13.87
antofagasta,2020-04-12,CL,-23.65,-70.4,64.4,77,90,10.29
korem,2020-04-12,ET,12.51,39.52,57.38,43,94,2.84
saint-ambroise,2020-04-12,CA,48.55,-71.33,44.6,85,75,8.05
vasudevanallur,2020-04-12,IN,9.23,77.42,77.94,74,8,1.5
coihaique,2020-04-12,CL,-45.58,-72.07,53.6,76,40,3.36
okha,2020-04-12,RU,53.57,142.95,30.16,94,12,1.57
port moresby,2020-04-12,PG,-9.44,147.18,78.8,94,40,3.36
bandarbeyla,2020-04-12,SO,9.49,50.81,80.1,74,22,6.85
rokiskis,2020-04-12,LT,55.97,25.58,46.36,64,97,14.67
macaracas,2020-04-12,PA,7.73,-80.55,80.64,75,90,5.17
nishihara,2020-04-12,JP,26.18,127.76,62.6,67,75,31.09
ust-karsk,2020-04-12,RU,52.7,118.81,39.47,59,100,10.76
umm kaddadah,2020-04-12,SD,13.6,26.69,72.64,16,83,12.33
guadalupe y calvo,2020-04-12,MX,26.1,-106.97,59.5,12,0,9.15
awjilah,2020-04-12,LY,29.11,21.29,65.61,26,0,6.11
petropavlovsk-kamchatskiy,2020-04-12,RU,53.05,158.65,32,92,17,4.47
sur,2020-04-12,OM,22.57,59.53,80.55,46,59,13.04
srednekolymsk,2020-04-12,RU,67.45,153.68,16.41,93,90,8.37
moerai,2020-04-12,PF,-22.43,-151.33,81.07,80,93,11.63
havre-saint-pierre,2020-04-12,CA,50.23,-63.6,35.6,64,1,13.87
luderitz,2020-04-12,NA,-26.65,15.16,60.8,100,7,10.29
shebunino,2020-04-12,RU,46.43,141.86,41.02,69,0,3.67
vostok,2020-04-12,RU,46.49,135.88,45.95,39,0,2.48
miri,2020-04-12,MY,4.41,114.01,77,100,75,1.12
zyryanka,2020-04-12,RU,65.75,150.85,24.75,97,99,8.84
vadso,2020-04-12,NO,70.07,29.75,28.4,92,90,23.04
seda,2020-04-12,LV,57.65,25.75,51.01,50,100,7
venado tuerto,2020-04-12,AR,-33.75,-61.97,66.99,63,100,2.19
mandera,2020-04-12,KE,3.94,41.87,81,12,99,3
walvis bay,2020-04-12,NA,-22.96,14.51,66.2,68,0,3.36
canto do buriti,2020-04-12,BR,-8.11,-42.94,75.29,81,84,1.77
crestview,2020-04-12,US,30.76,-86.57,80.6,78,90,19.46
santa vitoria do palmar,2020-04-12,BR,-33.52,-53.37,63.73,83,37,11.21
woodstock,2020-04-12,CA,43.13,-80.75,61,66,90,9.17
diu,2020-04-12,IN,20.71,70.98,81.16,45,0,12.86
hanna,2020-04-12,CA,51.63,-111.9,25,59,62,15.01
kondoa,2020-04-12,TZ,-4.9,35.78,63.45,66,100,3.53
belaya gora,2020-04-12,RU,68.53,146.42,8.67,89,65,4.7
yabrud,2020-04-12,SY,33.97,36.66,48.2,81,39,9.17
takoradi,2020-04-12,GH,4.88,-1.76,80.64,87,16,6.8
san rafael,2020-04-12,AR,-34.62,-68.33,61.2,55,100,3.76
palmerston,2020-04-12,AU,-12.49,130.98,81,94,100,3.36
elizabeth city,2020-04-12,US,36.29,-76.25,73.4,49,1,16.11
narayangarh,2020-04-12,IN,30.48,77.13,75.76,32,52,3.56
magalia,2020-04-12,US,39.81,-121.58,77,19,40,11.41
timmins,2020-04-12,CA,48.47,-81.33,39.2,51,90,2.24
tucuma,2020-04-12,BR,-0.18,-50.05,77.18,92,99,6.22
bambanglipuro,2020-04-12,ID,-7.95,110.28,78.46,78,14,3.53
yulara,2020-04-12,AU,-25.24,130.99,66.2,45,0,5.82
alyangula,2020-04-12,AU,-13.85,136.42,75.2,100,79,6.42
jumla,2020-04-12,NP,29.27,82.18,45.82,21,63,4.83
seoul,2020-04-12,KR,37.57,126.98,44.6,52,1,3.36
port macquarie,2020-04-12,AU,-31.43,152.92,61,71,0,5.82
mosetse,2020-04-12,BW,-20.75,26.65,73.18,30,62,2.37
guerrero,2020-04-12,MX,17.67,-100,85.21,20,60,4.32
sosnovo-ozerskoye,2020-04-12,RU,52.52,111.54,33.13,61,85,5.19
saiki,2020-04-12,JP,32.95,131.9,46.4,81,75,17.22
shenjiamen,2020-04-12,CN,29.96,122.3,53.08,66,3,22.82
youkounkoun,2020-04-12,GN,12.53,-13.13,84.83,52,86,7.65
hervey bay,2020-04-12,AU,-25.3,152.85,80.01,68,3,10.29
kutum,2020-04-12,SD,14.2,24.67,63.28,18,57,5.39
jasper,2020-04-12,US,37.2,-94.35,57.99,93,90,16.11
grand forks,2020-04-12,US,47.93,-97.03,30.2,63,90,12.75
russell,2020-04-12,US,32.35,-85.2,82,65,20,6.93
manzil salim,2020-04-12,TN,35.86,8.48,57.2,47,82,6.93
romanovka,2020-04-12,RU,51.74,42.75,31.53,86,0,10.31
coos bay,2020-04-12,US,43.37,-124.22,66.99,58,1,20.8
tabory,2020-04-12,RU,58.52,64.55,37.4,94,90,5.01
yushu,2020-04-12,CN,44.8,126.53,55.36,32,0,6.69
ahipara,2020-04-12,NZ,-35.17,173.17,65.05,72,16,21.88
amurzet,2020-04-12,RU,47.7,131.1,56.21,38,0,4.47
soria,2020-04-12,ES,41.67,-2.67,48.99,77,20,4
hoima,2020-04-12,UG,1.44,31.34,67.51,65,100,5.03
zlotoryja,2020-04-12,PL,51.13,15.92,57,47,9,10.29
miramar,2020-04-12,US,25.99,-80.23,84.99,70,75,17.22
barra patuca,2020-04-12,HN,15.8,-84.28,82.67,76,0,21.47
talcahuano,2020-04-12,CL,-36.72,-73.12,60.8,48,3,11.41
tautira,2020-04-12,PF,-17.73,-149.15,86,70,48,9.17
ciudad del maiz,2020-04-12,MX,22.4,-99.6,100,1,83,15.99
hualmay,2020-04-12,PE,-11.1,-77.61,72.86,77,39,7.92
doha,2020-04-12,QA,25.29,51.53,78.8,74,100,9.17
turayf,2020-04-12,SA,31.67,38.66,55.4,50,11,4.7
esmeralda,2020-04-12,CU,21.85,-78.12,78.93,71,0,10.85
umba,2020-04-12,RU,66.69,34.34,30.51,98,100,31.09
mandurah,2020-04-12,AU,-32.55,115.7,69.01,100,72,1.12
nisia floresta,2020-04-12,BR,-6.09,-35.21,82.4,83,65,6.93
alibag,2020-04-12,IN,18.64,72.88,82.4,88,20,2.68
tual,2020-04-12,ID,-5.67,132.75,84.69,71,92,5.93
kenora,2020-04-12,CA,49.82,-94.43,26.6,41,75,13.87
san juan,2020-04-12,AR,-31.54,-68.54,68.67,41,85,14.41
khani,2020-04-12,GE,41.96,42.96,37.4,93,12,2.24
pitimbu,2020-04-12,BR,-7.47,-34.81,78.8,88,20,5.82
hit,2020-04-12,IQ,33.64,42.83,64.51,37,21,2.57
sao filipe,2020-04-12,CV,14.9,-24.5,73.58,78,23,10.87
caravelas,2020-04-12,BR,-17.71,-39.25,77.65,85,35,16.04
galeana,2020-04-12,MX,24.83,-100.07,72,14,51,5.64
el naranjo,2020-04-12,MX,21.47,-98.6,100.24,28,87,11.16
gwanda,2020-04-12,ZW,-20.93,29,67.57,32,5,5.99
tocopilla,2020-04-12,CL,-22.09,-70.2,68.27,46,16,3.47
pionerskiy,2020-04-12,RU,54.95,20.23,55.4,43,68,8.95
buala,2020-04-12,SB,-8.14,159.59,84.78,75,93,7.72
amli,2020-04-12,IN,20.28,73.02,77.36,46,0,3.29
mgandu,2020-04-12,TZ,-5.95,34.13,61.88,65,100,7.94
kenai,2020-04-12,US,60.55,-151.26,41,74,90,14.99
lumut,2020-04-12,MY,4.23,100.63,77,94,20,1.12
erfurt,2020-04-12,DE,50.98,11.03,54,62,29,8.05
sorland,2020-04-12,NO,67.67,12.69,33.01,88,100,51.58
urucara,2020-04-12,BR,-2.54,-57.76,76.08,96,100,2.66
hohhot,2020-04-12,CN,40.81,111.65,32,23,92,6.71
san lorenzo,2020-04-12,PY,-25.33,-57.53,80.6,34,0,4.7
gizo,2020-04-12,SB,-8.1,156.84,86.41,69,92,3.04
vardo,2020-04-12,NO,70.37,31.11,28.4,92,90,23.04
cherskiy,2020-04-12,RU,68.75,161.3,18.19,96,97,7.61
valparaiso,2020-04-12,CL,-33.04,-71.63,59,62,90,3.36
charters towers,2020-04-12,AU,-20.1,146.27,81.18,55,0,10.4
yar-sale,2020-04-12,RU,66.83,70.83,21.54,98,100,10.07
synya,2020-04-12,RU,65.37,58.04,18.23,95,99,6.31
port hedland,2020-04-12,AU,-20.32,118.57,78.8,83,90,6.93
namibe,2020-04-12,AO,-15.2,12.15,76.17,74,21,2.93
kerema,2020-04-12,PG,-7.96,145.78,85.12,69,92,1.21
tromso,2020-04-12,NO,69.65,18.96,28.4,92,90,32.21
sept-iles,2020-04-12,CA,50.2,-66.38,39.2,51,75,6.93
ixtapa,2020-04-12,MX,20.7,-105.2,78.8,50,40,13.87
zakamensk,2020-04-12,RU,50.37,103.29,32.9,56,99,3.38
miandrivazo,2020-04-12,MG,-19.52,45.47,75.25,81,9,1.61
shubarkuduk,2020-04-12,KZ,49.14,56.49,35.89,76,23,12.03
galle,2020-04-12,LK,6.04,80.22,79.27,81,17,2.57
baneh,2020-04-12,IR,36,45.89,36.7,53,11,2.75
farliug,2020-04-12,RO,45.49,21.85,62.6,70,16,9.17
yinchuan,2020-04-12,CN,38.47,106.27,48.99,8,9,1.99
nakhon phanom,2020-04-12,TH,17.41,104.78,69.01,66,100,6.62
mahibadhoo,2020-04-12,MV,3.78,72.97,83.73,68,67,3.47
devils lake,2020-04-12,US,48.11,-98.87,32,46,20,16.11
kulhudhuffushi,2020-04-12,MV,6.62,73.07,85.14,70,76,8.16
tuni,2020-04-12,IN,17.35,82.55,78.46,63,0,5.17
iwanai,2020-04-12,JP,42.97,140.51,44.62,55,0,5.64
gusinoye ozero,2020-04-12,RU,51.11,106.26,37.04,60,98,5.61
glace bay,2020-04-12,CA,46.2,-59.96,42.8,38,75,8.05
boddam,2020-04-12,GB,57.47,-1.78,42.01,56,90,14.99
college,2020-04-12,US,64.86,-147.8,46.4,31,75,1.43
tacna,2020-04-12,PE,-18.01,-70.25,71.6,73,33,10.29
lincoln,2020-04-12,US,40.8,-96.67,33.01,80,90,36.91
sobolevo,2020-04-12,RU,54.43,31.9,38.88,66,64,12.62
riachao,2020-04-12,BR,-7.36,-46.62,75.97,77,68,1.74
atar,2020-04-12,MR,20.52,-13.05,79.03,19,1,12.15
vanavara,2020-04-12,RU,60.34,102.28,32.16,85,0,2.01
soweto,2020-04-12,ZA,-26.27,27.86,66,68,21,2.24
